symbol,security_id,segment
DEEPAKNTR,19943,NSE_EQ
DEEPINDS,3292,NSE_EQ
DELHIVERY,9599,NSE_EQ
DELTACORP,15044,NSE_EQ
DELTAMAGNT,1214,NSE_EQ
DEN,17722,NSE_EQ
DENORA,4279,NSE_EQ
DENTA,29256,NSE_EQ
DEVIT,8146,NSE_EQ
DEVX,759079,NSE_EQ
DEVYANI,5373,NSE_EQ
DGCONTENT,10346,NSE_EQ
DHAMPURSUG,857,NSE_EQ
DHANBANK,11359,NSE_EQ
DHANUKA,24409,NSE_EQ
DHARMAJ,13001,NSE_EQ
DHATRE,765060,NSE_EQ
DHOOTTRANS,764553,NSE_EQ
DHRUV,6858,NSE_EQ
DHUNINV,22233,NSE_EQ
DIAMINESQ,18644,NSE_EQ
DIAMONDYD,21840,NSE_EQ
DICIND,703,NSE_EQ
DIFFNKG,25672,NSE_EQ
DIGIDRIVE,21247,NSE_EQ
DIGISPICE,16683,NSE_EQ
DIGITIDE,757515,NSE_EQ
DISAQ,762643,NSE_EQ
DISHTV,14537,NSE_EQ
DIVGIITTS,14479,NSE_EQ
DIVISLAB,10940,NSE_EQ
DIXON,21690,NSE_EQ
DJML,12749,NSE_EQ
DLF,14732,NSE_EQ
DLINKINDIA,17851,NSE_EQ
DMART,19913,NSE_EQ
DMCC,6973,NSE_EQ
DNAMEDIA,641,NSE_EQ
DODLA,4822,NSE_EQ
DOLATALGO,12124,NSE_EQ
DOLLAR,20560,NSE_EQ
DOLPHIN,18139,NSE_EQ
DOMS,20551,NSE_EQ
DONEAR,13839,NSE_EQ
DPABHUSHAN,936,NSE_EQ
DRAGARWQ,762648,NSE_EQ
DRCSYSTEMS,2645,NSE_EQ
DREAMFOLKS,10859,NSE_EQ
DREDGECORP,11271,NSE_EQ
DRREDDY,881,NSE_EQ
DSSL,25690,NSE_EQ
DUCON,28952,NSE_EQ
DVL,15214,NSE_EQ
DWARKESH,11667,NSE_EQ
DYCL,10417,NSE_EQ
DYNAMATECH,4525,NSE_EQ
DYNPRO,21314,NSE_EQ
EASEMYTRIP,2792,NSE_EQ
EASTWEST,765065,NSE_EQ
EBGNG,757862,NSE_EQ
ECLERX,15179,NSE_EQ
ECORECO,764663,NSE_EQ
EDELWEISS,15119,NSE_EQ
EFCIL,758675,NSE_EQ
EICHERMOT,910,NSE_EQ
EIDPARRY,916,NSE_EQ
EIEL,27213,NSE_EQ
EIHAHOTELS,15399,NSE_EQ
EIHOTEL,919,NSE_EQ
EIMCOELECO,4040,NSE_EQ
EKC,13091,NSE_EQ
EKI,764668,NSE_EQ
ELANTAS,762653,NSE_EQ
ELCIDIN,762658,NSE_EQ
ELDEHSG,8953,NSE_EQ
ELECON,13643,NSE_EQ
ELECTCAST,928,NSE_EQ
ELECTHERM,4469,NSE_EQ
ELGIEQUIP,937,NSE_EQ
ELGIRUBCO,24924,NSE_EQ
ELIN,13423,NSE_EQ
ELITECON,762663,NSE_EQ
ELLEN,758563,NSE_EQ
ELPROINTL,4471,NSE_EQ
EMAMILTD,13517,NSE_EQ
EMAMIREAL,19277,NSE_EQ
EMBDL,14450,NSE_EQ
EMCURE,24398,NSE_EQ
EMIL,11530,NSE_EQ
EMKAY,13421,NSE_EQ
EMMVEE,759728,NSE_EQ
EMPIND,764673,NSE_EQ
EMPOWER,762670,NSE_EQ
EMSLIMITED,18593,NSE_EQ
EMUDHRA,9756,NSE_EQ
ENDURANCE,18822,NSE_EQ
ENERGYDEV,15049,NSE_EQ
ENGINERSIN,4907,NSE_EQ
ENIL,13192,NSE_EQ
